sentence,tokens,bio_tags
"Crew run day, need a {route_length: 12.5 km} route with photo ops near {start_location: cyber street} {loca_start_num: 22}","Crew run day, need a, {route_length: 12.5 km}, route with photo ops near, {start_location: cyber street}, {loca_start_num: 22}","O, B-route_length, O, B-start_location, B-loca_start_num"
good running route for tourists?,good running route for tourists?,O
"Suggest a running route to {end_location: dov yudkovsky street} {loca_end_num: 63}, with a total distance of {route_length: 4 km}.","Suggest a running route to, {end_location: dov yudkovsky street}, {loca_end_num: 63}, , with a total distance of, {route_length: 4 km}, .","O, B-end_location, B-loca_end_num, O, B-route_length, O"
{start_location: ancient harbor} to {end_location: yemen},"{start_location: ancient harbor}, to, {end_location: yemen}","B-start_location, O, B-end_location"
planning 5k where should i go,planning 5k where should i go,O
Show me the best {route_length: 5.5 km} route near {start_location: maimonides} {loca_start_num: 21},"Show me the best, {route_length: 5.5 km}, route near, {start_location: maimonides}, {loca_start_num: 21}","O, B-route_length, O, B-start_location, B-loca_start_num"
simple running path please,simple running path please,O
"Plan a {difficulty: medium} running route that starts at {start_location: weizmann institute street} {loca_start_num: 88} and ends at {end_location: batsheva} {loca_end_num: 46}, with a length of {route_length: 6.5 km}.","Plan a, {difficulty: medium}, running route that starts at, {start_location: weizmann institute street}, {loca_start_num: 88}, and ends at, {end_location: batsheva}, {loca_end_num: 46}, , with a length of, {route_length: 6.5 km}, .","O, B-difficulty, O, B-start_location, B-loca_start_num, O, B-end_location, B-loca_end_num, O, B-route_length, O"
competitive runner need {difficulty: very hard} track {route_length: 8.5 kilometers} from {start_location: ein avdat street} {loca_start_num: 54} to {end_location: yossi banai} {loca_end_num: 22},"competitive runner need, {difficulty: very hard}, track, {route_length: 8.5 kilometers}, from, {start_location: ein avdat street}, {loca_start_num: 54}, to, {end_location: yossi banai}, {loca_end_num: 22}","O, B-difficulty, O, B-route_length, O, B-start_location, B-loca_start_num, O, B-end_location, B-loca_end_num"
i wanna run from my house on {start_location: rav kook street} to the beach,"i wanna run from my house on, {start_location: rav kook street}, to the beach","O, B-start_location, O"
something {difficulty: somewhat tough} and short,"something, {difficulty: somewhat tough}, and short","O, B-difficulty, O"
Need a route with street lights from {start_location: carmel} {loca_start_num: 11},"Need a route with street lights from, {start_location: carmel}, {loca_start_num: 11}","O, B-start_location, B-loca_start_num"
