sentence,tokens,bio_tags
Good morning! I've just moved to Tel Aviv and I'm looking for a nice running route that shows off the best parts of the city - any suggestions?,"Good, morning!, I've, just, moved, to, Tel, Aviv, and, I'm, looking, for, a, nice, running, route, that, shows, off, the, best, parts, of, the, city, -, any, suggestions?","O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O"
Doing a social run from {start_location: schocken street} {loca_start_num: 13},"Doing, a, social, run, from, schocken, street, 13","O, O, O, O, O, B-start_location, I-start_location, B-loca_start_num"
can u plan my morning jog?,"can, u, plan, my, morning, jog?","O, O, O, O, O, O"
need a route for tomorrow,"need, a, route, for, tomorrow","O, O, O, O, O"
looking for {difficulty: not hard} route {route_length: 11 km},"looking, for, not, hard, route, 11, km","O, O, B-difficulty, I-difficulty, O, B-route_length, I-route_length"
"Feeling ambitious, show me a {difficulty: difficult but rewarding} {route_length: 12 km} route from {start_location: israel museum street} {loca_start_num: 25}","Feeling, ambitious,, show, me, a, difficult, but, rewarding, 12, km, route, from, israel, museum, street, 25","O, O, O, O, O, B-difficulty, I-difficulty, I-difficulty, B-route_length, I-route_length, O, O, B-start_location, I-start_location, I-start_location, B-loca_start_num"
where can i do short easy run?,"where, can, i, do, short, easy, run?","O, O, O, O, O, O, O"
Plan a route of {route_length: 12.5 km}.,"Plan, a, route, of, 12.5, km, .","O, O, O, O, B-route_length, I-route_length, O"
{difficulty: hard} route to {end_location: menachem begin} {loca_end_num: 54},"hard, route, to, menachem, begin, 54","B-difficulty, O, O, B-end_location, I-end_location, B-loca_end_num"
route planning help please,"route, planning, help, please","O, O, O, O"
plan route ending {end_location: poland} {loca_end_num: 87},"plan, route, ending, poland, 87","O, O, O, B-end_location, B-loca_end_num"
"Building endurance, show me a {difficulty: easy} {route_length: over 20 km} route starting {start_location: tel aviv street} {loca_start_num: 5}","Building, endurance,, show, me, a, easy, over, 20, km, route, starting, tel, aviv, street, 5","O, O, O, O, O, B-difficulty, B-route_length, I-route_length, I-route_length, O, O, B-start_location, I-start_location, I-start_location, B-loca_start_num"
{route_length: 16 kilometers} path somewhere nice,"16, kilometers, path, somewhere, nice","B-route_length, I-route_length, O, O, O"
Good morning! I've just moved to Tel Aviv and I'm looking for a nice running route that shows off the best parts of the city - any suggestions?,"Good, morning!, I've, just, moved, to, Tel, Aviv, and, I'm, looking, for, a, nice, running, route, that, shows, off, the, best, parts, of, the, city, -, any, suggestions?","O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O"
"Post race recovery run, something easy near {start_location: beit lessin street} {loca_start_num: 41}","Post, race, recovery, run,, something, easy, near, beit, lessin, street, 41","O, O, O, O, O, O, O, B-start_location, I-start_location, I-start_location, B-loca_start_num"
