sentence,tokens,bio_tags
Can anyone recommend a good {difficulty: very hard} running route that shows off the city's architecture? Staying near {start_location: bukhara} {loca_start_num: 95},"Can, anyone, recommend, a, good, very, hard, running, route, that, shows, off, the, city's, architecture?, Staying, near, bukhara, 95","O, O, O, O, O, B-difficulty, I-difficulty, O, O, O, O, O, O, O, O, O, O, B-start_location, B-loca_start_num"
Need a good running track for my morning exercise - something that starts near {start_location: isaiah} and is moderately challenging,"Need, a, good, running, track, for, my, morning, exercise, -, something, that, starts, near, isaiah, and, is, moderately, challenging","O, O, O, O, O, O, O, O, O, O, O, O, O, O, B-start_location, O, O, O, O"
Can you create a {difficulty: challenging} run to {end_location: my current spot}?,"Can, you, create, a, challenging, run, to, my, current, spot, ?","O, O, O, O, B-difficulty, O, O, B-end_location, I-end_location, I-end_location, O"
Need a {route_length: 4.5 km} route from {start_location: shavit street} {loca_start_num: 74} to {end_location: haeucalyptus street} {loca_end_num: 84} that's {difficulty: hard} level - training for a race next month,"Need, a, 4.5, km, route, from, shavit, street, 74, to, haeucalyptus, street, 84, that's, hard, level, -, training, for, a, race, next, month","O, O, B-route_length, I-route_length, O, O, B-start_location, I-start_location, B-loca_start_num, O, B-end_location, I-end_location, B-loca_end_num, O, B-difficulty, O, O, O, O, O, O, O, O"
recommend running route please,"recommend, running, route, please","O, O, O, O"
good path for morning run?,"good, path, for, morning, run?","O, O, O, O, O"
{route_length: 14.5 km} track with good scenery,"14.5, km, track, with, good, scenery","B-route_length, I-route_length, O, O, O, O"
"Not feeling it today, got an easy {route_length: 250 meters} route near {start_location: yehoram gaon} {loca_start_num: 20}?","Not, feeling, it, today,, got, an, easy, 250, meters, route, near, yehoram, gaon, 20, ?","O, O, O, O, O, O, O, B-route_length, I-route_length, O, O, B-start_location, I-start_location, B-loca_start_num, O"
advanced runner want {difficulty: extreme difficulty} course {route_length: 14 kilometers} beginning {start_location: haeucalyptus} {loca_start_num: 81} end at {end_location: allenby} {loca_end_num: 63},"advanced, runner, want, extreme, difficulty, course, 14, kilometers, beginning, haeucalyptus, 81, end, at, allenby, 63","O, O, O, B-difficulty, I-difficulty, O, B-route_length, I-route_length, O, B-start_location, B-loca_start_num, O, O, B-end_location, B-loca_end_num"
Show me the best {route_length: 14.0 kilometers} route near {start_location: balfour} {loca_start_num: 100},"Show, me, the, best, 14.0, kilometers, route, near, balfour, 100","O, O, O, O, B-route_length, I-route_length, O, O, B-start_location, B-loca_start_num"
I need a {difficulty: difficult but rewarding} route.,"I, need, a, difficult, but, rewarding, route.","O, O, O, B-difficulty, I-difficulty, I-difficulty, O"
{start_location: shlomo zalman shragai street} {loca_start_num: 49} to {end_location: beit hakerem street} {loca_end_num: 40},"shlomo, zalman, shragai, street, 49, to, beit, hakerem, street, 40","B-start_location, I-start_location, I-start_location, I-start_location, B-loca_start_num, O, B-end_location, I-end_location, I-end_location, B-loca_end_num"
looking for {difficulty: very hard} path about {route_length: 3.0 kilometers},"looking, for, very, hard, path, about, 3.0, kilometers","O, O, B-difficulty, I-difficulty, O, O, B-route_length, I-route_length"
I need a {difficulty: very easy} route of {route_length: 17.5 kilometers}.,"I, need, a, very, easy, route, of, 17.5, kilometers, .","O, O, O, B-difficulty, I-difficulty, O, O, B-route_length, I-route_length, O"
Need a short route from {start_location: henrietta szold street} {loca_start_num: 88},"Need, a, short, route, from, henrietta, szold, street, 88","O, O, O, O, O, B-start_location, I-start_location, I-start_location, B-loca_start_num"
"I want to run from {start_location: nahal alexander} {loca_start_num: 29} to {end_location: narkis street} {loca_end_num: 42}, need {route_length: 9 kilometers} {difficulty: medium} route","I, want, to, run, from, nahal, alexander, 29, to, narkis, street, 42, ,, need, 9, kilometers, medium, route","O, O, O, O, O, B-start_location, I-start_location, B-loca_start_num, O, B-end_location, I-end_location, B-loca_end_num, O, O, B-route_length, I-route_length, B-difficulty, O"
route to {end_location: israel museum street} {loca_end_num: 63},"route, to, israel, museum, street, 63","O, O, B-end_location, I-end_location, I-end_location, B-loca_end_num"
Generate a running route from {start_location: tal brody street} {loca_start_num: 48} to {end_location: yedioth} {loca_end_num: 39}.,"Generate, a, running, route, from, tal, brody, street, 48, to, yedioth, 39, .","O, O, O, O, O, B-start_location, I-start_location, I-start_location, B-loca_start_num, O, B-end_location, B-loca_end_num, O"
Can you provide a route to {end_location: daniel kahneman street} {loca_end_num: 81} that spans {route_length: short}?,"Can, you, provide, a, route, to, daniel, kahneman, street, 81, that, spans, short, ?","O, O, O, O, O, O, B-end_location, I-end_location, I-end_location, B-loca_end_num, O, O, B-route_length, O"
experienced runner looking for {difficulty: extreme difficulty} route about {route_length: 19.0 kilometers},"experienced, runner, looking, for, extreme, difficulty, route, about, 19.0, kilometers","O, O, O, O, B-difficulty, I-difficulty, O, O, B-route_length, I-route_length"
Please suggest a route from {start_location: friendship street} {loca_start_num: 7} to {end_location: ancient harbor street} {loca_end_num: 32}.,"Please, suggest, a, route, from, friendship, street, 7, to, ancient, harbor, street, 32, .","O, O, O, O, O, B-start_location, I-start_location, B-loca_start_num, O, B-end_location, I-end_location, I-end_location, B-loca_end_num, O"
{start_location: frishman} {loca_start_num: 81} to {end_location: desert spring} {loca_end_num: 38},"frishman, 81, to, desert, spring, 38","B-start_location, B-loca_start_num, O, B-end_location, I-end_location, B-loca_end_num"
i wanna run from my house on {start_location: jabotinsky street} to the beach,"i, wanna, run, from, my, house, on, jabotinsky, street, to, the, beach","O, O, O, O, O, O, O, B-start_location, I-start_location, O, O, O"
My doctor recommended daily walks - could you suggest an easy route near the city center?,"My, doctor, recommended, daily, walks, -, could, you, suggest, an, easy, route, near, the, city, center?","O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O"
Got any decent {route_length: 14 km} loops starting from {start_location: gaza} {loca_start_num: 15}?,"Got, any, decent, 14, km, loops, starting, from, gaza, 15, ?","O, O, O, B-route_length, I-route_length, O, O, O, B-start_location, B-loca_start_num, O"
"{start_location: morocco street} {loca_start_num: 49} to {end_location: pierre koenig} {loca_end_num: 48}, {difficulty: very hard} {route_length: 1.0 km}","morocco, street, 49, to, pierre, koenig, 48, ,, very, hard, 1.0, km","B-start_location, I-start_location, B-loca_start_num, O, B-end_location, I-end_location, B-loca_end_num, O, B-difficulty, I-difficulty, B-route_length, I-route_length"
First time running in this area,"First, time, running, in, this, area","O, O, O, O, O, O"
Group run starting at {start_location: bialik street} {loca_start_num: 20},"Group, run, starting, at, bialik, street, 20","O, O, O, O, B-start_location, I-start_location, B-loca_start_num"
