sentence,tokens,bio_tags
need {route_length: 800 meters} track,"need, 800, meters, track","O, B-route_length, I-route_length, O"
"{start_location: near me} to {end_location: meah shearim street} {loca_end_num: 40}, not too difficult","near, me, to, meah, shearim, street, 40, ,, not, too, difficult","B-start_location, I-start_location, O, B-end_location, I-end_location, I-end_location, B-loca_end_num, O, O, O, O"
I'm staying at {start_location: shimshon} {loca_start_num: 11} and would love a {difficulty: somewhat tough} route to explore the city,"I'm, staying, at, shimshon, 11, and, would, love, a, somewhat, tough, route, to, explore, the, city","O, O, O, B-start_location, B-loca_start_num, O, O, O, O, B-difficulty, I-difficulty, O, O, O, O, O"
"Plan a route from {start_location: king george street} {loca_start_num: 9}, and make it {route_length: 12.0 kilometers}.","Plan, a, route, from, king, george, street, 9, ,, and, make, it, 12.0, kilometers, .","O, O, O, O, B-start_location, I-start_location, I-start_location, B-loca_start_num, O, O, O, O, B-route_length, I-route_length, O"
run from {start_location: acre} to {end_location: hapisga} {loca_end_num: 16},"run, from, acre, to, hapisga, 16","O, O, B-start_location, O, B-end_location, B-loca_end_num"
Suggest a {difficulty: hard} run from {start_location: golda meir boulevard} {loca_start_num: 26}.,"Suggest, a, hard, run, from, golda, meir, boulevard, 26, .","O, O, B-difficulty, O, O, B-start_location, I-start_location, I-start_location, B-loca_start_num, O"
Want to avoid hills - got a flat {route_length: 3 km} route from {start_location: yehudi menuhin} {loca_start_num: 1}?,"Want, to, avoid, hills, -, got, a, flat, 3, km, route, from, yehudi, menuhin, 1, ?","O, O, O, O, O, O, O, O, B-route_length, I-route_length, O, O, B-start_location, I-start_location, B-loca_start_num, O"
Can you suggest a {difficulty: intense} run that spans {route_length: 5.5 kilometers}?,"Can, you, suggest, a, intense, run, that, spans, 5.5, kilometers, ?","O, O, O, O, B-difficulty, O, O, O, B-route_length, I-route_length, O"
Hey running friends! I'm training for my first 5K and would love some recommendations for a beginner-friendly route near the beach area,"Hey, running, friends!, I'm, training, for, my, first, 5K, and, would, love, some, recommendations, for, a, beginner-friendly, route, near, the, beach, area","O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O"
Need a solid {difficulty: very hard} route from {start_location: yitzhak sadeh street} {loca_start_num: 32} to {end_location: dizengoff street} {loca_end_num: 29},"Need, a, solid, very, hard, route, from, yitzhak, sadeh, street, 32, to, dizengoff, street, 29","O, O, O, B-difficulty, I-difficulty, O, O, B-start_location, I-start_location, I-start_location, B-loca_start_num, O, B-end_location, I-end_location, B-loca_end_num"
{difficulty: somewhat tough} run {route_length: 13.5 km},"somewhat, tough, run, 13.5, km","B-difficulty, I-difficulty, O, B-route_length, I-route_length"
need {route_length: 18.5 km} easy route,"need, 18.5, km, easy, route","O, B-route_length, I-route_length, O, O"
{route_length: 18.0 kilometers} run from {start_location: hakurkum street} {loca_start_num: 10},"18.0, kilometers, run, from, hakurkum, street, 10","B-route_length, I-route_length, O, O, B-start_location, I-start_location, B-loca_start_num"
plan running route {difficulty: easy} distance {route_length: 450 meters} starting {start_location: startup street} {loca_start_num: 96} ending {end_location: hannah szenes} {loca_end_num: 26},"plan, running, route, easy, distance, 450, meters, starting, startup, street, 96, ending, hannah, szenes, 26","O, O, O, B-difficulty, O, B-route_length, I-route_length, O, B-start_location, I-start_location, B-loca_start_num, O, B-end_location, I-end_location, B-loca_end_num"
simple run {route_length: medium-length},"simple, run, medium-length","O, O, B-route_length"
where can i do {route_length: 19 km} run?,"where, can, i, do, 19, km, run?","O, O, O, O, B-route_length, I-route_length, O"
"{start_location: textile street} {loca_start_num: 14} to {end_location: menashe street} {loca_end_num: 35}, make it {difficulty: moderate effort}","textile, street, 14, to, menashe, street, 35, ,, make, it, moderate, effort","B-start_location, I-start_location, B-loca_start_num, O, B-end_location, I-end_location, B-loca_end_num, O, O, O, B-difficulty, I-difficulty"
{start_location: yehuda street} to {end_location: hadekel street},"yehuda, street, to, hadekel, street","B-start_location, I-start_location, O, B-end_location, I-end_location"
Create a running route from {start_location: eilat} {loca_start_num: 5} that is {route_length: 5.5 kilometers}.,"Create, a, running, route, from, eilat, 5, that, is, 5.5, kilometers, .","O, O, O, O, O, B-start_location, B-loca_start_num, O, O, B-route_length, I-route_length, O"
gimme {difficulty: slightly challenging} path {route_length: moderate distance} start {start_location: asher} {loca_start_num: 95} finish {end_location: ofra haza street} {loca_end_num: 57},"gimme, slightly, challenging, path, moderate, distance, start, asher, 95, finish, ofra, haza, street, 57","O, B-difficulty, I-difficulty, O, B-route_length, I-route_length, O, B-start_location, B-loca_start_num, O, B-end_location, I-end_location, I-end_location, B-loca_end_num"
"{start_location: dance quarter} {loca_start_num: 57} to {end_location: desert spring} {loca_end_num: 70}, {difficulty: slightly challenging} {route_length: 4 km}","dance, quarter, 57, to, desert, spring, 70, ,, slightly, challenging, 4, km","B-start_location, I-start_location, B-loca_start_num, O, B-end_location, I-end_location, B-loca_end_num, O, B-difficulty, I-difficulty, B-route_length, I-route_length"
"Running with newbies, need an easy {route_length: 12.5 km} loop from {start_location: hatikva market} {loca_start_num: 41}","Running, with, newbies,, need, an, easy, 12.5, km, loop, from, hatikva, market, 41","O, O, O, O, O, O, B-route_length, I-route_length, O, O, B-start_location, I-start_location, B-loca_start_num"
"{start_location: ahad ha'am street} {loca_start_num: 92} to {end_location: washington street} {loca_end_num: 82}, make it {difficulty: not hard}","ahad, ha'am, street, 92, to, washington, street, 82, ,, make, it, not, hard","B-start_location, I-start_location, I-start_location, B-loca_start_num, O, B-end_location, I-end_location, B-loca_end_num, O, O, O, B-difficulty, I-difficulty"
Create a {difficulty: somewhat tough} running route from {start_location: sapir prize} {loca_start_num: 41} to {end_location: shimshon} {loca_end_num: 49} that is {route_length: 6 km}.,"Create, a, somewhat, tough, running, route, from, sapir, prize, 41, to, shimshon, 49, that, is, 6, km, .","O, O, B-difficulty, I-difficulty, O, O, O, B-start_location, I-start_location, B-loca_start_num, O, B-end_location, B-loca_end_num, O, O, B-route_length, I-route_length, O"
"Got time for a quick {route_length: 17.0 kilometers} run, starting at {start_location: acre} {loca_start_num: 35}","Got, time, for, a, quick, 17.0, kilometers, run,, starting, at, acre, 35","O, O, O, O, O, B-route_length, I-route_length, O, O, O, B-start_location, B-loca_start_num"
Taking a different route today from {start_location: heleni hamalka} {loca_start_num: 71},"Taking, a, different, route, today, from, heleni, hamalka, 71","O, O, O, O, O, O, B-start_location, I-start_location, B-loca_start_num"
Plan a route of {route_length: 4 km}.,"Plan, a, route, of, 4, km, .","O, O, O, O, B-route_length, I-route_length, O"
start at {start_location: bar ilan} {loca_start_num: 19},"start, at, bar, ilan, 19","O, O, B-start_location, I-start_location, B-loca_start_num"
first timer needs running advice,"first, timer, needs, running, advice","O, O, O, O, O"
need running suggestions please,"need, running, suggestions, please","O, O, O, O"
"I need a {difficulty: flat and easy} running route from {start_location: reuven rubin} {loca_start_num: 4} to {end_location: tel aviv} {loca_end_num: 13}, and the length should be {route_length: 4.0 kilometers}.","I, need, a, flat, and, easy, running, route, from, reuven, rubin, 4, to, tel, aviv, 13, ,, and, the, length, should, be, 4.0, kilometers, .","O, O, O, B-difficulty, I-difficulty, I-difficulty, O, O, O, B-start_location, I-start_location, B-loca_start_num, O, B-end_location, I-end_location, B-loca_end_num, O, O, O, O, O, O, B-route_length, I-route_length, O"
"Plan a {difficulty: medium} running route that starts at {start_location: right where i am} {loca_start_num: 9} and ends at {end_location: maariv street} {loca_end_num: 70}, with a length of {route_length: 14.0 km}.","Plan, a, medium, running, route, that, starts, at, right, where, i, am, 9, and, ends, at, maariv, street, 70, ,, with, a, length, of, 14.0, km, .","O, O, B-difficulty, O, O, O, O, O, B-start_location, I-start_location, I-start_location, I-start_location, B-loca_start_num, O, O, O, B-end_location, I-end_location, B-loca_end_num, O, O, O, O, O, B-route_length, I-route_length, O"
Gimme a {difficulty: flat and easy} route around {route_length: 8 kilometers} near {start_location: maskit street} {loca_start_num: 41},"Gimme, a, flat, and, easy, route, around, 8, kilometers, near, maskit, street, 41","O, O, B-difficulty, I-difficulty, I-difficulty, O, O, B-route_length, I-route_length, O, B-start_location, I-start_location, B-loca_start_num"
Morning run starting at {start_location: hayarkon} {loca_start_num: 90},"Morning, run, starting, at, hayarkon, 90","O, O, O, O, B-start_location, B-loca_start_num"
Running with friends from {start_location: damascus gate} {loca_start_num: 55},"Running, with, friends, from, damascus, gate, 55","O, O, O, O, B-start_location, I-start_location, B-loca_start_num"
Gonna run {route_length: 15.0 kilometers} from {start_location: hacarmel} {loca_start_num: 93} today,"Gonna, run, 15.0, kilometers, from, hacarmel, 93, today","O, O, B-route_length, I-route_length, O, B-start_location, B-loca_start_num, O"
{start_location: rav kook} {loca_start_num: 43} to {end_location: space center} {loca_end_num: 90},"rav, kook, 43, to, space, center, 90","B-start_location, I-start_location, B-loca_start_num, O, B-end_location, I-end_location, B-loca_end_num"
running route {route_length: 15-20 km} to {end_location: harotem street} {loca_end_num: 93},"running, route, 15-20, km, to, harotem, street, 93","O, O, B-route_length, I-route_length, O, B-end_location, I-end_location, B-loca_end_num"
senior runner want {difficulty: difficult but rewarding} path {route_length: 15.0 km} start {start_location: shavuot} {loca_start_num: 71} finish {end_location: hillel street} {loca_end_num: 94},"senior, runner, want, difficult, but, rewarding, path, 15.0, km, start, shavuot, 71, finish, hillel, street, 94","O, O, O, B-difficulty, I-difficulty, I-difficulty, O, B-route_length, I-route_length, O, B-start_location, B-loca_start_num, O, B-end_location, I-end_location, B-loca_end_num"
"{start_location: hamada} {loca_start_num: 74} to {end_location: right here}, {difficulty: intense}","hamada, 74, to, right, here, ,, intense","B-start_location, B-loca_start_num, O, B-end_location, I-end_location, O, B-difficulty"
looking for peaceful running route,"looking, for, peaceful, running, route","O, O, O, O, O"
Gotta get my miles in - show me a {route_length: 5 km} loop from {start_location: beit lessin street} {loca_start_num: 62},"Gotta, get, my, miles, in, -, show, me, a, 5, km, loop, from, beit, lessin, street, 62","O, O, O, O, O, O, O, O, O, B-route_length, I-route_length, O, O, B-start_location, I-start_location, I-start_location, B-loca_start_num"
Need to get {route_length: 7.5 kilometers} in from {start_location: hayarkon street} {loca_start_num: 1},"Need, to, get, 7.5, kilometers, in, from, hayarkon, street, 1","O, O, O, B-route_length, I-route_length, O, O, B-start_location, I-start_location, B-loca_start_num"
Time for my daily run,"Time, for, my, daily, run","O, O, O, O, O"
