sentence,tokens,bio_tags
{route_length: 8.0 km} ending {end_location: yad harutzim} {loca_end_num: 83},"8.0, km, ending, yad, harutzim, 83","B-route_length, I-route_length, O, B-end_location, I-end_location, B-loca_end_num"
"Want to run past {end_location: jabotinsky} {loca_end_num: 15}, maybe {route_length: 10 km} total?","Want, to, run, past, jabotinsky, 15, ,, maybe, 10, km, total?","O, O, O, O, B-end_location, B-loca_end_num, O, O, B-route_length, I-route_length, O"
recommend safe running route,"recommend, safe, running, route","O, O, O, O"
Meeting friends for a run - what's a good {route_length: 19.0 kilometers} route near {start_location: haeucalyptus} {loca_start_num: 42}?,"Meeting, friends, for, a, run, -, what's, a, good, 19.0, kilometers, route, near, haeucalyptus, 42, ?","O, O, O, O, O, O, O, O, O, B-route_length, I-route_length, O, O, B-start_location, B-loca_start_num, O"
need {difficulty: flat and easy} morning run,"need, flat, and, easy, morning, run","O, B-difficulty, I-difficulty, I-difficulty, O, O"
"Need some hills in my life, {route_length: 14.0 kilometers} route from {start_location: poland} {loca_start_num: 52}?","Need, some, hills, in, my, life,, 14.0, kilometers, route, from, poland, 52, ?","O, O, O, O, O, O, B-route_length, I-route_length, O, O, B-start_location, B-loca_start_num, O"
Feeling good need a {difficulty: very hard} route,"Feeling, good, need, a, very, hard, route","O, O, O, O, B-difficulty, I-difficulty, O"
{difficulty: flat and easy} {route_length: 1-3 km} path starting {start_location: jerusalem boulevard} {loca_start_num: 86} ending {end_location: queen esther} {loca_end_num: 56},"flat, and, easy, 1-3, km, path, starting, jerusalem, boulevard, 86, ending, queen, esther, 56","B-difficulty, I-difficulty, I-difficulty, B-route_length, I-route_length, O, O, B-start_location, I-start_location, B-loca_start_num, O, B-end_location, I-end_location, B-loca_end_num"
"{start_location: ha'shayarot} {loca_start_num: 14} to {end_location: gila almagor street} {loca_end_num: 50}, {difficulty: very hard} {route_length: 15-20 km} please and thank you!","ha'shayarot, 14, to, gila, almagor, street, 50, ,, very, hard, 15-20, km, please, and, thank, you!","B-start_location, B-loca_start_num, O, B-end_location, I-end_location, I-end_location, B-loca_end_num, O, B-difficulty, I-difficulty, B-route_length, I-route_length, O, O, O, O"
need {route_length: 5.0 kilometers} path near the water,"need, 5.0, kilometers, path, near, the, water","O, B-route_length, I-route_length, O, O, O, O"
{difficulty: intense} running track please,"intense, running, track, please","B-difficulty, O, O, O"
"Training for my first 5k, need a {route_length: 250 meters} route near {start_location: open university street} {loca_start_num: 33}","Training, for, my, first, 5k,, need, a, 250, meters, route, near, open, university, street, 33","O, O, O, O, O, O, O, B-route_length, I-route_length, O, O, B-start_location, I-start_location, I-start_location, B-loca_start_num"
need {difficulty: somewhat tough} morning run,"need, somewhat, tough, morning, run","O, B-difficulty, I-difficulty, O, O"
