sentence,tokens,bio_tags
need {difficulty: flat and easy} jogging route {route_length: 15.0 kilometers} starting {start_location: ruth} {loca_start_num: 21} finish at {end_location: jeremiah} {loca_end_num: 74},"need, {difficulty: flat and easy}, jogging route, {route_length: 15.0 kilometers}, starting, {start_location: ruth}, {loca_start_num: 21}, finish at, {end_location: jeremiah}, {loca_end_num: 74}","O, B-difficulty, O, B-route_length, O, B-start_location, B-loca_start_num, O, B-end_location, B-loca_end_num"
"Want to run past {end_location: hayael street} {loca_end_num: 36}, maybe {route_length: 20.0 km} total?","Want to run past, {end_location: hayael street}, {loca_end_num: 36}, , maybe, {route_length: 20.0 km}, total?","O, B-end_location, B-loca_end_num, O, B-route_length, O"
first time in tel aviv where should i go running?,first time in tel aviv where should i go running?,O
Easy recovery run - need a {route_length: 5.0 km} route near {start_location: startup street} {loca_start_num: 68},"Easy recovery run - need a, {route_length: 5.0 km}, route near, {start_location: startup street}, {loca_start_num: 68}","O, B-route_length, O, B-start_location, B-loca_start_num"
experienced runner looking for {difficulty: intense} route about {route_length: 13 kilometers},"experienced runner looking for, {difficulty: intense}, route about, {route_length: 13 kilometers}","O, B-difficulty, O, B-route_length"
Show me the best {route_length: 700 meters} route near {start_location: lions gate street} {loca_start_num: 71},"Show me the best, {route_length: 700 meters}, route near, {start_location: lions gate street}, {loca_start_num: 71}","O, B-route_length, O, B-start_location, B-loca_start_num"
Never run here before need a route,Never run here before need a route,O
Plan a route of {route_length: over 20 km}.,"Plan a route of, {route_length: over 20 km}, .","O, B-route_length, O"
"First time runner here, would appreciate a beginner-friendly route somewhere scenic in the city","First time runner here, would appreciate a beginner-friendly route somewhere scenic in the city",O
Planning my weekend fitness routine and need a nice {route_length: moderate distance} path with some interesting city views,"Planning my weekend fitness routine and need a nice, {route_length: moderate distance}, path with some interesting city views","O, B-route_length, O"
Want to avoid hills - got a flat {route_length: 6.5 kilometers} route from {start_location: esther roth street} {loca_start_num: 7}?,"Want to avoid hills - got a flat, {route_length: 6.5 kilometers}, route from, {start_location: esther roth street}, {loca_start_num: 7}, ?","O, B-route_length, O, B-start_location, B-loca_start_num, O"
route to {end_location: pesach} thats {difficulty: intense},"route to, {end_location: pesach}, thats, {difficulty: intense}","O, B-end_location, O, B-difficulty"
