sentence,tokens,bio_tags
{difficulty: challenging} running track please,"challenging, running, track, please","B-difficulty, O, O, O"
"Looking for a route with coffee shops along the way, around {route_length: 14 kilometers}","Looking, for, a, route, with, coffee, shops, along, the, way,, around, 14, kilometers","O, O, O, O, O, O, O, O, O, O, O, B-route_length, I-route_length"
"{start_location: weizmann} {loca_start_num: 61} to {end_location: habustan street} {loca_end_num: 10}, {route_length: 15.0 km} {difficulty: difficult but rewarding}","weizmann, 61, to, habustan, street, 10, ,, 15.0, km, difficult, but, rewarding","B-start_location, B-loca_start_num, O, B-end_location, I-end_location, B-loca_end_num, O, B-route_length, I-route_length, B-difficulty, I-difficulty, I-difficulty"
Looking for a nice {difficulty: very hard} path from {start_location: tel aviv} {loca_start_num: 40} that's good for elderly people,"Looking, for, a, nice, very, hard, path, from, tel, aviv, 40, that's, good, for, elderly, people","O, O, O, O, B-difficulty, I-difficulty, O, O, B-start_location, I-start_location, B-loca_start_num, O, O, O, O, O"
from {start_location: sephardim street} {loca_start_num: 91} need {difficulty: slightly challenging} path,"from, sephardim, street, 91, need, slightly, challenging, path","O, B-start_location, I-start_location, B-loca_start_num, O, B-difficulty, I-difficulty, O"
start at {start_location: space center street} {loca_start_num: 90},"start, at, space, center, street, 90","O, O, B-start_location, I-start_location, I-start_location, B-loca_start_num"
need {difficulty: difficult but rewarding} route about {route_length: 1 km},"need, difficult, but, rewarding, route, about, 1, km","O, B-difficulty, I-difficulty, I-difficulty, O, O, B-route_length, I-route_length"
I need a {difficulty: flat and easy} running route starting from {start_location: ussishkin} {loca_start_num: 39}.,"I, need, a, flat, and, easy, running, route, starting, from, ussishkin, 39, .","O, O, O, B-difficulty, I-difficulty, I-difficulty, O, O, O, O, B-start_location, B-loca_start_num, O"
Plan a {difficulty: moderate effort} run starting from {start_location: keren hayesod street} {loca_start_num: 5}.,"Plan, a, moderate, effort, run, starting, from, keren, hayesod, street, 5, .","O, O, B-difficulty, I-difficulty, O, O, O, B-start_location, I-start_location, I-start_location, B-loca_start_num, O"
need a quick {route_length: long distance} run,"need, a, quick, long, distance, run","O, O, O, B-route_length, I-route_length, O"
What's a good running path nearby?,"What's, a, good, running, path, nearby?","O, O, O, O, O, O"
"Perfect running weather, show me a {route_length: 3.5 km} route near {start_location: masada} {loca_start_num: 50}","Perfect, running, weather,, show, me, a, 3.5, km, route, near, masada, 50","O, O, O, O, O, O, B-route_length, I-route_length, O, O, B-start_location, B-loca_start_num"
help plan my first 5k route,"help, plan, my, first, 5k, route","O, O, O, O, O, O"
want to run but dont know where,"want, to, run, but, dont, know, where","O, O, O, O, O, O, O"
Can you suggest a {difficulty: intense} run that spans {route_length: 14.5 km}?,"Can, you, suggest, a, intense, run, that, spans, 14.5, km, ?","O, O, O, O, B-difficulty, O, O, O, B-route_length, I-route_length, O"
running path recommendation,"running, path, recommendation","O, O, O"
suggest route for beginner,"suggest, route, for, beginner","O, O, O, O"
can u plan me a quick 5k run?,"can, u, plan, me, a, quick, 5k, run?","O, O, O, O, O, O, O, O"
